J1043953	238572739210	2074179	2297	0	2		2074179	182	25	ACCEPT	3	0	6891	C30
J1043954	238572736663	2074180	150	0	0		2074180	183	25	ACCEPT	1	0	150	C1
J1043955	238572739189	2074180	152	0	0		2074180	183	25	ACCEPT	1	0	152	C1
J1043956	238572767413	2074185	405	0	233		2074185	188	25	ACCEPT	234	0	94770	C5000
J1043957	238572767448	2074194	498	0	0		2074194	197	25	ACCEPT	1	0	498	C1
J1043958	238572767431	2074194	522	0	0		2074194	197	25	ACCEPT	1	0	522	C1
J1043959	238572789158	2074201	400	0	156		2074201	204	25	ACCEPT	157	0	62800	C5000
J1043960	238572789184	2074203	18	0	0		2074203	206	25	SMALL	1	0	18	C1
J1043961	238572789171	2074203	21	0	0		2074203	206	25	SMALL	1	0	21	C1
J1043962	238572793848	2074214	2	0	1		2074214	217	25	SMALL	2	0	4	C30
J1043963	238572646053	2074217	145	0	18		2074217	220	25	ACCEPT	19	0	2755	C30
J1043964	238572712562	2074217	95	0	5		2074217	220	25	ACCEPT	6	0	570	C30
J1043965	238572681050	2074218	248	0	84		2074218	221	25	ACCEPT	85	0	21080	C120
J1043966	238572792377	2074218	6	0	0		2074218	221	25	SMALL	1	0	6	C1
J1043967	238572793897	2074220	105	0	0		2074220	223	25	ACCEPT	1	0	105	C1
J1043968	238572794851	2074220	100	0	0		2074220	223	25	ACCEPT	1	0	100	C1
J1043969	238572789197	2074223	22	0	0		2074223	226	25	SMALL	1	0	22	C1
J1043970	238572797745	2074231	490	0	0		2074231	234	25	ACCEPT	1	0	490	C1
J1043971	238572797864	2074232	375	0	0		2074232	235	25	ACCEPT	1	0	375	C1
J1043972	238572797133	2074235	435	0	1485		2074235	238	25	ACCEPT	1486	0	646410	C5000
J1043973	238572760962	2074236	347	0	305		2074236	239	25	ACCEPT	306	0	106182	C5000
J1043974	238572792393	2074240	82	0	4		2074240	243	25	ACCEPT	5	0	410	C30
J1043975	238572760759	2074240	2780	0	199		2074240	243	25	ACCEPT	200	0	556000	C5000
J1043976	238572761016	2074241	2803	0	0		2074241	244	25	ACCEPT	1	0	2803	C1
J1043977	238572804587	2074241	681	0	2		2074241	244	25	ACCEPT	3	0	2043	C30
J1043978	238572765282	2074241	595	0	0		2074241	244	25	ACCEPT	1	0	595	C1
J1043979	238572792380	2074241	33	0	0		2074241	244	25	SMALL	1	0	33	C1
J1043980	238572792598	2074241	80	0	4		2074241	244	25	ACCEPT	5	0	400	C30
